2026-06-17 11:47:30,273 | INFO     | company-ai.ai | pid=20556 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=345 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:49:56,340 | INFO     | company-ai.ai | pid=3088 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=1696 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:50:12,729 | INFO     | company-ai.ai | pid=3088 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=480 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:50:21,061 | INFO     | company-ai.ai | pid=3088 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=336 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:50:33,156 | INFO     | company-ai.ai | pid=3088 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=423 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:50:39,752 | INFO     | company-ai.ai | pid=3088 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=359 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:51:01,285 | INFO     | company-ai.ai | pid=3088 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=785 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:51:08,343 | INFO     | company-ai.ai | pid=3088 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=770 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:53:14,245 | INFO     | company-ai.ai | pid=3088 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=647 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 13:04:09,879 | INFO     | company-ai.ai | pid=51364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='region,writters' meta_op='AND' results=10 latency_ms=469 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 13:04:36,847 | INFO     | company-ai.ai | pid=51364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='region,writters' meta_op='AND' results=10 latency_ms=309 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 13:05:56,784 | INFO     | company-ai.ai | pid=51364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='region,writters' meta_op='AND' results=10 latency_ms=309 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 13:06:04,546 | INFO     | company-ai.ai | pid=51364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='region,writters' meta_op='AND' results=10 latency_ms=277 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 13:06:12,625 | INFO     | company-ai.ai | pid=51364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='region,writters' meta_op='AND' results=10 latency_ms=320 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 13:07:00,774 | INFO     | company-ai.ai | pid=51364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=297 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 13:33:12,072 | INFO     | company-ai.ai | pid=51364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=333 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 13:33:24,911 | INFO     | company-ai.ai | pid=51364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=361 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 13:33:34,981 | INFO     | company-ai.ai | pid=51364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=348 search_type='SEMANTIC' store='s3' rerank='passthrough'
